,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
96,,results_full_domain_frac_billwalshhonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
97,,results_top_three_domain_frac_billwalshhonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
98,,results_top_domain_frac_billwalshhonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
99,,results_full_domain_frac_www.calfire.ca.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
100,,results_top_three_domain_frac_www.calfire.ca.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
101,,results_top_domain_frac_www.calfire.ca.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
102,0.001,results_full_domain_frac_www.foxnews.com,210,50,0.016118881118881122,0.016,0.017,1.05,,260,rural,urban,0.8778174387379624,urban
103,,results_top_three_domain_frac_www.foxnews.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
104,,results_top_domain_frac_www.foxnews.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
105,0.003,results_full_domain_frac_www.oldnavy.com,210,50,0.007062937062937064,0.007,0.009,1.38,,260,rural,urban,0.6203881906307573,urban
106,,results_top_three_domain_frac_www.oldnavy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
107,,results_top_domain_frac_www.oldnavy.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
108,0.0,results_full_domain_frac_www.health.ny.gov,210,50,0.0002958579881656805,0.0,0.0,inf,,260,rural,urban,0.31846687654859984,rural
109,,results_top_three_domain_frac_www.health.ny.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
110,,results_top_domain_frac_www.health.ny.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
111,,results_full_domain_frac_www.glamour.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
112,,results_top_three_domain_frac_www.glamour.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
113,,results_top_domain_frac_www.glamour.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
114,,results_full_domain_frac_www.snagajob.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
115,,results_top_three_domain_frac_www.snagajob.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
116,,results_top_domain_frac_www.snagajob.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
117,0.004,results_full_domain_frac_MapsPlaces,210,50,0.0038461538461538464,0.003,0.007,2.4,,260,rural,urban,0.25610299531889824,urban
118,0.013,results_top_three_domain_frac_MapsPlaces,210,50,0.002564102564102564,0.0,0.013,inf,,260,rural,urban,0.15938605197461633,urban
119,0.04,results_top_domain_frac_MapsPlaces,210,50,0.007692307692307693,0.0,0.04,inf,,260,rural,urban,0.15938605197461633,urban
120,,results_full_domain_frac_www.papajohns.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
121,,results_top_three_domain_frac_www.papajohns.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
122,,results_top_domain_frac_www.papajohns.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
123,,results_full_domain_frac_www.estlechevybuick.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
124,,results_top_three_domain_frac_www.estlechevybuick.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
125,,results_top_domain_frac_www.estlechevybuick.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
126,,results_full_domain_frac_californiainnocenceproject.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
127,,results_top_three_domain_frac_californiainnocenceproject.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
128,,results_top_domain_frac_californiainnocenceproject.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
129,,results_full_domain_frac_www.insiderpages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
130,,results_top_three_domain_frac_www.insiderpages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
131,,results_top_domain_frac_www.insiderpages.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
132,,results_full_domain_frac_www.columbiahonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
133,,results_top_three_domain_frac_www.columbiahonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
134,,results_top_domain_frac_www.columbiahonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
135,,results_full_domain_frac_www.maxmotors71.co,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
136,,results_top_three_domain_frac_www.maxmotors71.co,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
137,,results_top_domain_frac_www.maxmotors71.co,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
138,,results_full_domain_frac_www.cfr.org,210,50,0.007692307692307693,0.0077,0.0077,,1.0,260,rural,urban,,
