GEOID,POP_ESTIMATE_2016
20195,"2,872"
20197,"6,891"
20199,"1,497"
20201,"5,546"
20203,"2,112"
20205,"8,723"
20207,"3,165"
20209,"163,831"
21000,"4,436,974"
21001,"19,280"
21003,"20,631"
21005,"22,158"
21007,"8,054"
21009,"43,993"
21011,"12,327"
21013,"27,117"
21015,"128,536"
21017,"20,030"
21019,"48,132"
21021,"30,018"
21023,"8,400"
21025,"13,284"
21027,"19,961"
21029,"79,151"
21031,"12,845"
21033,"12,568"
21035,"38,437"
21037,"92,211"
21039,"4,855"
21041,"10,679"
21043,"27,046"
21045,"15,815"
21047,"72,351"
21049,"35,819"
21051,"20,766"
21053,"10,177"
21055,"9,188"
21057,"6,738"
21059,"99,674"
21061,"12,114"
21063,"7,588"
21065,"14,307"
21067,"318,449"
21069,"14,507"
21071,"37,110"
21073,"50,560"
21075,"6,179"
21077,"8,609"
21079,"17,292"
21081,"24,923"
21083,"37,182"
21085,"26,184"
21087,"11,060"
21089,"35,893"
21091,"8,810"
21093,"107,316"
21095,"27,168"
21097,"18,646"
21099,"18,627"
21101,"46,253"
21103,"15,818"
21105,"4,627"
21107,"45,904"
21109,"13,368"
21111,"765,352"
21113,"52,357"
21115,"22,978"
21117,"164,945"
21119,"15,544"
21121,"31,687"
21123,"14,096"
21125,"60,250"
21127,"15,863"
21129,"6,580"
21131,"10,538"
21133,"22,773"
21135,"13,442"
21137,"24,372"
21139,"9,269"
21141,"26,593"
21143,"8,069"
21145,"65,162"
21147,"17,511"
21149,"9,475"
21151,"89,547"
21153,"12,684"
21155,"19,205"
21157,"31,365"
21159,"12,002"
21161,"17,190"
21163,"28,126"
21165,"6,408"
21167,"21,477"
21169,"10,018"
21171,"10,588"
21173,"27,771"
21175,"13,298"
21177,"31,028"
21179,"45,559"
21181,"7,084"
21183,"24,378"
21185,"65,560"
21187,"10,642"
21189,"4,491"
21191,"14,560"
21193,"27,343"
21195,"60,555"
21197,"12,308"
21199,"63,956"
21201,"2,155"
21203,"16,850"
21205,"24,451"
21207,"17,722"
21209,"53,972"
21211,"46,408"
21213,"18,083"
21215,"18,274"
21217,"25,397"
21219,"12,295"
21221,"14,264"
21223,"8,620"
21225,"14,880"
21227,"125,532"
21229,"12,189"
21231,"20,453"
21233,"13,316"
21235,"36,096"
21237,"7,159"
21239,"26,124"
22000,"4,681,666"
22001,"62,645"
22003,"25,684"
22005,"121,587"
22007,"22,695"
22009,"41,117"
22011,"36,927"
22013,"13,865"
22015,"126,057"
22017,"248,851"
22019,"200,601"
22021,"10,087"
22023,"6,882"
22025,"9,921"
22027,"16,132"
22029,"19,920"
22031,"27,149"
22033,"447,037"
22035,"7,271"
22037,"19,683"
22039,"33,709"
22041,"20,330"
22043,"22,365"
22045,"73,273"
22047,"32,920"
22049,"15,808"
22051,"436,523"
22053,"31,413"
22055,"241,398"
22057,"98,305"
22059,"15,052"
22061,"47,745"
22063,"140,138"
22065,"11,528"
22067,"26,071"
22069,"39,162"
22071,"391,495"
22073,"156,983"
22075,"23,464"
22077,"22,159"
22079,"132,424"
22081,"8,550"
22083,"20,430"
22085,"23,977"
22087,"45,688"
22089,"52,923"
22091,"10,512"
22093,"21,557"
22095,"43,631"
22097,"83,883"
22099,"54,007"
22101,"52,093"
22103,"253,602"
22105,"130,710"
22107,"4,597"
22109,"113,220"
22111,"22,487"
22113,"60,205"
22115,"50,569"
22117,"46,310"
22119,"39,710"
22121,"25,795"
22123,"11,114"
22125,"15,344"
22127,"14,376"
23000,"1,331,479"
23001,"107,319"
23003,"67,959"
23005,"292,041"
23007,"30,001"
23009,"54,419"
23011,"120,569"
23013,"39,744"
23015,"34,216"
23017,"57,217"
23019,"151,806"
23021,"16,843"
23023,"35,273"
23025,"50,915"
23027,"39,364"
23029,"31,450"
23031,"202,343"
24000,"6,016,447"
24001,"72,130"
24003,"568,346"
24005,"831,026"
24009,"91,251"
24011,"32,850"
24013,"167,656"
24015,"102,603"
24017,"157,705"
24019,"32,258"
24021,"247,591"
24023,"29,425"
24025,"251,032"
24027,"317,233"
24029,"19,730"
24031,"1,043,863"
24033,"908,049"
24035,"48,929"
24037,"112,587"
24039,"25,928"
24041,"37,278"
24043,"150,292"
24045,"102,577"
24047,"51,444"
24510,"614,664"
25000,"6,811,779"
25001,"214,276"
25003,"126,903"
25005,"558,324"
25007,"17,246"
25009,"779,018"
25011,"70,382"
25013,"468,467"
25015,"161,816"
25017,"1,589,774"
25019,"11,008"
25021,"697,181"
25023,"513,565"
